
? CHAPTER ONE  ?
Backgrounds

Table 1–1: Character Beginnings
1  Abandoned by father
2  Abandoned by mother
3  Born at sea calling no land home
4  Born into a convent
5  Born into a mining camp
6  Born into slavery
7  Given over to a special school for raising
8  Grew up among nonhumans
9  Grew up an only child
10  Grew up an orphan
11  Grew up as a refugee with parents
12  Grew up in a large family-many siblings
13  Grew up in a small family-one/two siblings
14  Grew up into a guild or profession
15  Raised by a monstrous clan
16  Raised in the wild
17  Raised in poverty in a city or town
18  Raised in wealth in a city or town
19  Raised on a farm
20  Raised on a frontier homestead

Table 1–2: Family Composition
1  Both parents alive, 1 sibling
2  Both parents alive, 2 siblings
3  Both parents alive, 2d4 siblings
4  Both parents alive, 3 siblings
5  Both parents alive, 4 siblings
6  Both parents alive, no siblings
7  Neither parent alive, 1 sibling
8  Neither parent alive, 2 siblings
9  Neither parent alive, 2d8 siblings
10  Neither parent alive, 3 siblings
11  Neither parent alive, 4 siblings
12  Neither parent alive, no siblings
13  One parent alive, 1 sibling
14  One parent alive, 2 siblings
15  One parent alive, 2d6 siblings
16  One parent alive, 3 siblings
17  One parent alive, 4 siblings
18  One parent alive, no siblings
19  Orphaned
20  Unknown family and background

Table 1–3: Famous Ancestry
1  Artisan of amazing skill and precision
2  Created a potent magical weapon
3  Deeds were legendary but never proven
4  Discovered and named a great place
5  Exiled for crimes against the realm
6  Failed merchant or guild leader
7  Famous poet or entertainer
8  Fell in a titanic battle as the leader
9  Founded a cult to oppose local church
10  Founded a town or community
11  Great hero of the realm
12  Highly successful merchant or guild leader
13  Liar and cheat who died a pauper
14  Lost during a dangerous pilgrimage
15  Magical bloodline produced a powerful sorcerer
16  No ancestor of note
17  Political leader of note in city
18  Powerful cleric of a strange faith
19  Settled here from far away
20  Wizard who formed an academy


? CHAPTER ONE  ?
Table 1–4: Character Backgrounds/Concepts 1
1  Addict. You are addicted to drugs, alcohol, adrenaline, tobacco, or some combination.
2  Albino. Your body lacks pigmentation; this can affect hair, skin, and eyes or just your eyes.
3  Allergies. You are allergic to some form of creature, dust, mold, plant oils or even perfumes.
4  Animals. You have a soft spot for strays and often feed them or leave food behind.
5  Aquatic. You have a great love of the sea; you swim or sail whenever possible.
6   Attention. You make a spectacle of yourself with theatrical speeches, grand entrances, or odd behavior.
7  Betrayal. You've been betrayed by a specific race member, never trusting a word any of them say.
8  Black sheep. Your family members are all pillars of society, except you.
9  Blades. You are fascinated by bladed weapons of all sizes and shapes.
10  Bloodlust. You get irritable if too long a time passes between battles.
11  Bodyguard. You feel protective of another member of the group, whether you're paid to be or not.
12  Boring. You believe your childhood was completely uninteresting, changing facts to liven it up.
13  Bullies. You can't wait to gain power and show the bullies back home who is boss.
14  Carouser. You find your way into both public and private parties whenever possible.
15  Children. You adore children, hoping someday to have a family of your own.
16  Clotheshorse. You just have to buy new clothes; some of them you only wear once.
17  Color-blind. You can't see the difference between red and green or blue and yellow.
18  Connoisseur. You eat and drink only the very best beverages and foods, no trail rations for you.
19  Crafts. You are handy and can make just about anything; pass the time while traveling with crafts
20  Demigod. You believe divine blood runs in your veins.
Table 1–5: Character Backgrounds/Concepts 2
1  Envious. You wish you belonged to the race/nation that borders your own.
2  Evil. You believe agents of evil seek you out for an unknown purpose.
3  Family. Your family expected much from you, but you have your own plans.
4  Famous. You have the youthful drive to be famous and follow any chance to do so.
5  Fascinated. You are fascinated by a particular form of creature, studying and tracking it.
6  Favor. Someone or something owes you a favor.
7  Feast. You never order less than one of everything on the menu, the beverage list or both.
8  Fickle. You are never happy with a choice and often change your taste at whim.
9  Fleeing. You are hiding from your friends and family, who insist on an arranged marriage.
10  Flying. You have a desire to fly and once these means are acquired, you will use them all the time.
11  Fortune-teller. You carry a divining tool (tarot cards, rune stones, rune sticks, bones, etc.)
12  Gambling. You can't resist the lure of games of chance-which doesn't mean you're good at them.
13  Ghosts. You  see the spirits of people who have not passed on yet.
14  Good. You believe agents of good seek you out for an unknown purpose.
15  Gourmet. You always make meals out of whatever is available, encouraging others to try some.
16  Guilty. You believe you are to blame for the death of someone close to you.
17  Half breed. You suspect there is unusual blood running in your veins...
18  Hatred. There is someone in your past whom you despise, whether or not that person is aware.
19  Heartbreaker. You love them and leave them, it's just your way.
20  Hero. Someone in your family is a hero; you are on a personal quest to outdo their exploits.

? CHAPTER ONE  ?
